Exercise,Category,Type,Goal,Sets/Duration,Reps
Partner resistance standing twist,Core,gym,general fitness,3,12
Cross Crunch,Core,gym,general fitness,3,12
Full Moon,Core,gym,general fitness,3,12
Hanging knee raise with manual resistance,Core,gym,general fitness,3,12
Straight-Legged Hip Raise,Core,gym,general fitness,3,12
Wall mountain climber,Core,gym,general fitness,3,12
Skin The Cat To Push-Up,Core,gym,general fitness,3,12
Partner lying leg raise with lateral throw down,Core,gym,general fitness,3,12
Hanging leg raise with throw down,Core,gym,general fitness,3,12
Partner sit-up with high-five,Core,gym,general fitness,3,12
Exercise ball knee roll-in,Core,gym,general fitness,3,12
Partner lying leg raise with throw down,Core,gym,general fitness,3,12
Crab toe-touch,Core,gym,general fitness,3,12
Side kick-through,Core,gym,general fitness,3,12
Partner target sit-up,Core,gym,general fitness,3,12
Suspended Crunch,Core,gym,general fitness,3,12
Jump Lunge,Core,gym,general fitness,3,12
Side plank hip dip,Core,gym,general fitness,3,12
Elbow plank jack,Core,gym,general fitness,3,12
Exercise ball V-up,Core,gym,general fitness,3,12
Standing torso twist stretch,Core,gym,general fitness,3,12
Slalom jumps,Core,gym,general fitness,3,12
Bear crawl,Core,gym,general fitness,3,12
Crab single-arm reach,Core,gym,general fitness,3,12
Side lunge cross-body heel-touch,Core,gym,general fitness,3,12
Alligator Crawl,Core,gym,general fitness,3,12
Lying cross-over lower back stretch,Core,gym,general fitness,3,12
Half bird dog,Core,gym,general fitness,3,12
Shoulder tap,Core,gym,general fitness,3,12
Double crunch,Core,gym,general fitness,3,12
Flutter kick,Core,gym,general fitness,3,12
Sprawl,Core,gym,general fitness,3,12
Spider plank jack,Core,gym,general fitness,3,12
Pillar-To-Plank,Core,gym,general fitness,3,12
Alternating High Knee Raise,Core,gym,general fitness,3,12
Sumo Squat Pulse,Core,gym,general fitness,3,12
Line-Drill Foot Work,Core,gym,general fitness,3,12
Plank Fire Hydrants,Core,gym,general fitness,3,12
Banded jumping jack,Core,gym,general fitness,3,12
Shin hug,Core,gym,general fitness,3,12
FYR Bear Crawl Fire Feet,Core,gym,general fitness,3,12
Bear crawl up-down,Core,gym,general fitness,3,12
FYR Crab Kick,Core,gym,general fitness,3,12
Bear crawl hold,Core,gym,general fitness,3,12
Traveling bear crawl,Core,gym,general fitness,3,12
Single-leg V-up,Core,gym,general fitness,3,12
FYR Bear Crawl Shoulder Tap,Core,gym,general fitness,3,12
Alternating single-leg sprawl,Core,gym,general fitness,3,12
Wide mountain climber,Core,gym,general fitness,3,12
Plank leg raise,Core,gym,general fitness,3,12
Glute bridge step-out,Core,gym,general fitness,3,12
Knee up-down,Core,gym,general fitness,3,12
FYR Sprawl,Core,gym,general fitness,3,12
Reach crunch,Core,gym,general fitness,3,12
FYR Push-Up Plank Hold,Core,gym,general fitness,3,12
FYR Hollow-Body Rock,Core,gym,general fitness,3,12
V-up plus knee-to-chest combo,Core,gym,general fitness,3,12
Side plank lateral raise,Core,gym,general fitness,3,12
Superhero burpee,Core,gym,general fitness,3,12
Hollow-body abduction,Core,gym,general fitness,3,12
FYR Hollow Hold,Core,gym,general fitness,3,12
Tip-toe crunch,Core,gym,general fitness,3,12
Knee-to-nose pulse,Core,gym,general fitness,3,12
Plank walk-out,Core,gym,general fitness,3,12
FYR V-Up,Core,gym,general fitness,3,12
Long sit-up,Core,gym,general fitness,3,12
FYR Breakdancer,Core,gym,general fitness,3,12
Seated leg lift,Core,gym,general fitness,3,12
Gorilla burpee,Core,gym,general fitness,3,12
Knee-in to V-out,Core,gym,general fitness,3,12
Bear crawl push-up,Core,gym,general fitness,3,12
FYR Front Step,Core,gym,general fitness,3,12
Plank reach,Core,gym,general fitness,3,12
Eiffel Tower leg raise,Core,gym,general fitness,3,12
Straight-arm plank,Core,gym,general fitness,3,12
Plank up-down,Core,gym,general fitness,3,12
Frog kick,Core,gym,general fitness,3,12
FYR Knees to Chest,Core,gym,general fitness,3,12
Front kick-through,Core,gym,general fitness,3,12
FYR Sit-Up,Core,gym,general fitness,3,12
FYR Leg Lift,Core,gym,general fitness,3,12
TBS Toes-to-bar,Core,gym,general fitness,3,12
FYR Mountain Climber,Core,gym,general fitness,3,12
Roman Chair Side Ups,Core,gym,general fitness,3,12
Push-Up Roll Out - Gethin Variation,Core,gym,general fitness,3,12
Cross-Body Crunch - Gethin Variation,Core,gym,general fitness,3,12
Decline leg lift with twist,Core,gym,general fitness,3,12
Hanging Leg Raise - Variation Gethin,Core,gym,general fitness,3,12
Butterfly crunch,Core,gym,general fitness,3,12
Cross-body mountain climber,Core,gym,general fitness,3,12
Flat Bench Lying Leg Raise - Gethin Variation,Core,gym,general fitness,3,12
Lying leg lift,Core,gym,general fitness,3,12
Hanging alternating single-leg raise,Core,gym,general fitness,3,12
Plank Walk,Core,gym,general fitness,3,12
Sit-Up - Gethin Variation,Core,gym,general fitness,3,12
Plank Push-Up,Core,gym,general fitness,3,12
Decline crunch-,Core,gym,general fitness,3,12
Alternating lying leg raise,Core,gym,general fitness,3,12
Decline leg lift,Core,gym,general fitness,3,12
Crunch - Gethin Variation,Core,gym,general fitness,3,12
Plank - Gethin Variation,Core,gym,general fitness,3,12
Barbell floor wiper,Core,gym,general fitness,3,12
Prison Push-Up,Core,gym,general fitness,3,12
McGill Modified Curl-Up,Core,gym,general fitness,3,12
Cross-body toe-touch,Core,gym,general fitness,3,12
Toy soldier,Core,gym,general fitness,3,12
Natural Glute Ham Raise with Stability Ball,Core,gym,general fitness,3,12
Lateral ape,Core,gym,general fitness,3,12
Hollow-body knee tuck,Core,gym,general fitness,3,12
HM Air Jumping Rope,Core,gym,general fitness,3,12
HM Alternating Lunge Reach,Core,gym,general fitness,3,12
HM Alternating Side Plank Reach,Core,gym,general fitness,3,12
HM Superman Plank,Core,gym,general fitness,3,12
HM Table Pose,Core,gym,general fitness,3,12
HM Toe Touch,Core,gym,general fitness,3,12
HM Right Side Bird-Dog,Core,gym,general fitness,3,12
HM Right Side Crunch,Core,gym,general fitness,3,12
HM Bicycle,Core,gym,general fitness,3,12
HM Bird-Dog Plank,Core,gym,general fitness,3,12
HM Boat Pose,Core,gym,general fitness,3,12
HM Bottoms Up,Core,gym,general fitness,3,12
HM Bridge,Core,gym,general fitness,3,12
HM Running Man Crunch,Core,gym,general fitness,3,12
HM Seated Twist,Core,gym,general fitness,3,12
HM Side-Bend Pose,Core,gym,general fitness,3,12
HM Side-Plank Arm Wrap,Core,gym,general fitness,3,12
HM Side-Plank with Hip Touch,Core,gym,general fitness,3,12
HM Side-Plank with Kick,Core,gym,general fitness,3,12
HM Side V-Up,Core,gym,general fitness,3,12
HM Crab Crunch,Core,gym,general fitness,3,12
HM Cross-Over Crunch,Core,gym,general fitness,3,12
HM Crunch Pulse,Core,gym,general fitness,3,12
HM Dead Bug,Core,gym,general fitness,3,12
HM Single-Leg Inchworm,Core,gym,general fitness,3,12
HM Floor Jack,Core,gym,general fitness,3,12
HM Floor Wiper,Core,gym,general fitness,3,12
HM Floor Kick,Core,gym,general fitness,3,12
HM Sit-Up,Core,gym,general fitness,3,12
HM Slow Mountain Climber,Core,gym,general fitness,3,12
HM Slow Sit-Up,Core,gym,general fitness,3,12
HM Half-Up,Core,gym,general fitness,3,12
HM Hollow-Body Pulse,Core,gym,general fitness,3,12
